date,confirmed cases,clinically diagnosed cases,clinically diagnosed cases,total cases
1/1/2020,58.63192182,-39.08794788,39.08794788,97.71986971
1/2/2020,32.5732899,-26.05863192,26.05863192,58.63192182
1/3/2020,52.11726384,-26.05863192,26.05863192,78.17589577
1/4/2020,39.08794788,-26.05863192,26.05863192,65.1465798
1/5/2020,52.11726384,-26.05863192,26.05863192,78.17589577
1/6/2020,71.66123779,-26.05863192,26.05863192,97.71986971
1/7/2020,65.1465798,-32.5732899,32.5732899,97.71986971
1/8/2020,84.69055375,-52.11726384,52.11726384,136.8078176
1/9/2020,84.69055375,-45.60260586,45.60260586,130.2931596
1/10/2020,117.2638436,-71.66123779,71.66123779,188.9250814
1/11/2020,117.2638436,-52.11726384,52.11726384,169.3811075
1/12/2020,123.7785016,-78.17589577,78.17589577,201.9543974
1/13/2020,149.8371336,-104.2345277,104.2345277,254.0716612
1/14/2020,182.4104235,-130.2931596,130.2931596,312.7035831
1/15/2020,247.5570033,-143.3224756,143.3224756,390.8794788
1/16/2020,254.0716612,-182.4104235,182.4104235,436.4820847
1/17/2020,351.7915309,-214.9837134,214.9837134,566.7752443
1/18/2020,384.3648208,-280.1302932,280.1302932,664.495114
1/19/2020,377.8501629,-280.1302932,280.1302932,657.980456
1/20/2020,723.1270358,-482.0846906,482.0846906,1205.211726
1/21/2020,755.7003257,-442.9967427,442.9967427,1198.697068
1/22/2020,925.0814332,-573.2899023,573.2899023,1498.371336
1/23/2020,1179.153094,-690.5537459,690.5537459,1869.70684
1/24/2020,1276.872964,-781.7589577,781.7589577,2058.631922
1/25/2020,1250.814332,-794.7882736,794.7882736,2045.602606
1/26/2020,1407.166124,-801.3029316,801.3029316,2208.469055
1/27/2020,1381.107492,-729.6416938,729.6416938,2110.749186
1/28/2020,1491.856678,-781.7589577,781.7589577,2273.615635
1/29/2020,1257.32899,-612.3778502,612.3778502,1869.70684
1/30/2020,1315.960912,-755.7003257,755.7003257,2071.661238
1/31/2020,1231.270358,-684.0390879,684.0390879,1915.309446
2/1/2020,2299.674267,-1661.237785,1661.237785,3960.912052
2/2/2020,1270.358306,-755.7003257,755.7003257,2026.058632
2/3/2020,1087.947883,-807.8175896,807.8175896,1895.765472
2/4/2020,1009.771987,-742.6710098,742.6710098,1752.442997
2/5/2020,1061.889251,-820.8469055,820.8469055,1882.736156
2/6/2020,684.0390879,-755.7003257,755.7003257,1439.739414
2/7/2020,690.5537459,-768.7296417,768.7296417,1459.283388
2/8/2020,553.7459283,-768.7296417,768.7296417,1322.47557
2/9/2020,423.4527687,-592.8338762,592.8338762,1016.286645
2/10/2020,514.6579805,-827.3615635,827.3615635,1342.019544
2/11/2020,351.7915309,-534.2019544,534.2019544,885.9934853
2/12/2020,410.4234528,-762.2149837,762.2149837,1172.638436
2/13/2020,390.8794788,-592.8338762,592.8338762,983.713355
2/14/2020,241.0423453,-449.5114007,449.5114007,690.5537459
2/15/2020,241.0423453,-280.1302932,280.1302932,521.1726384
2/16/2020,234.5276873,-234.5276873,234.5276873,469.0553746
2/17/2020,214.9837134,-156.3517915,156.3517915,371.3355049
2/18/2020,312.7035831,-58.63192182,58.63192182,371.3355049
2/19/2020,188.9250814,,,
2/20/2020,175.8957655,,,
2/21/2020,143.3224756,,,
2/22/2020,117.2638436,,,
2/23/2020,39.08794788,,,
2/24/2020,71.66123779,,,
